InvoiceId,InvoiceDate,InvoiceAmount,CustomerId
3143,10/1/2019,379.75,1776
3144,10/1/2019,20.65,1777
3145,10/1/2019,676.15,1778
3146,10/1/2019,314.45,574
3147,10/1/2019,12.95,366
3148,10/1/2019,8,177
3149,10/1/2019,78.35,1722
3150,10/1/2019,104.65,1465
3151,10/2/2019,214.45,1779
3152,10/2/2019,539.9,1780
3153,10/2/2019,39.9,1781
3154,10/2/2019,257.15,1782
3155,10/2/2019,111.8,1783
3156,10/2/2019,222.45,1784
3157,10/2/2019,239.27,1785
3158,10/2/2019,5.9,1786
3159,10/2/2019,386.2,566
3160,10/2/2019,199.6,1760
3161,10/2/2019,545.05,1308
3162,10/2/2019,408.3,1392
3163,10/2/2019,116.55,1325
3164,10/2/2019,144.55,187
3165,10/2/2019,249.2,1492
3166,10/2/2019,119.8,245
3167,10/2/2019,74.6,1641
3168,10/2/2019,629.55,1109
3169,10/2/2019,99.75,146
3170,10/3/2019,19.95,1787
3171,10/3/2019,81.8,1788
3172,10/3/2019,309.2,1789
3173,10/3/2019,157.32,1790
3174,10/3/2019,79.6,1791
3175,10/3/2019,245.4,1792
3176,10/3/2019,102.65,1793
3177,10/3/2019,1000,1794
3178,10/3/2019,364.6,1795
3179,10/3/2019,464.3,1796
3180,10/3/2019,49.85,1797
3181,10/3/2019,89.7,1798
3182,10/3/2019,387.3,1799
3183,10/3/2019,83.4,1800
3184,10/3/2019,179.5,1801
3185,10/3/2019,559.35,1802
3186,10/3/2019,139.65,1803
3187,10/3/2019,199.5,989
3188,10/3/2019,281.4,80
3189,10/3/2019,104.6,1211
3190,10/3/2019,5.9,1076
3191,10/3/2019,139.65,440
3192,10/3/2019,309.4,326
3193,10/3/2019,92.45,1492
3194,10/3/2019,174.55,1675
3195,10/3/2019,103.6,261
3196,10/3/2019,39.9,389
3197,10/3/2019,267.45,1059
3198,10/3/2019,99.75,91
3199,10/3/2019,504.25,455
3200,10/3/2019,553.8,1077
3201,10/3/2019,229.45,1407
3202,10/3/2019,339.05,1111
3203,10/3/2019,139.65,211
3204,10/4/2019,364.45,1804
3205,10/4/2019,287.4,1805
3206,10/4/2019,239.35,1806
3207,10/4/2019,77.7,1807
3208,10/4/2019,149.65,1808
3209,10/4/2019,682.75,1809
3210,10/4/2019,119.7,1810
3211,10/4/2019,299.7,1811
3212,10/4/2019,170.45,1812
3213,10/4/2019,170.6,1813
3214,10/4/2019,236.15,507
3215,10/4/2019,104.7,1360
3216,10/4/2019,149.55,1491
3217,10/5/2019,459,1814
3218,10/5/2019,57.8,1815
3219,10/5/2019,349.65,1816
3220,10/5/2019,100,1817
3221,10/5/2019,19.92,1818
3222,10/5/2019,375.9,1819
3223,10/5/2019,149.75,1820
3224,10/5/2019,317.1,1821
3225,10/5/2019,209.65,1822
3226,10/5/2019,64.75,1823
3227,10/5/2019,763,1824
3228,10/5/2019,32.45,1825
3229,10/5/2019,364.6,1741
3230,10/5/2019,563.3,1366
3231,10/5/2019,196.35,53
3232,10/5/2019,335.3,211
3233,10/5/2019,289.9,885
3234,10/5/2019,44.85,1671
3235,10/5/2019,74.75,1329
3236,10/5/2019,389.25,1503
3237,10/5/2019,185.6,788
3238,10/5/2019,167.7,756
3239,10/5/2019,544.25,1173
3240,10/5/2019,119.7,660
3241,10/5/2019,38.85,1445
3242,10/5/2019,271.35,187
3243,10/5/2019,419.35,664
3244,10/5/2019,89.7,1632
3245,10/6/2019,109.65,1826
3246,10/6/2019,99.75,1827
3247,10/6/2019,100,1828
3248,10/6/2019,398.95,1829
3249,10/6/2019,528.85,1830
3250,10/6/2019,119.7,1831
3251,10/6/2019,69.65,1832
3252,10/6/2019,440.4,1833
3253,10/6/2019,134.55,1834
3254,10/6/2019,39.9,1835
3255,10/6/2019,395.05,1836
3256,10/6/2019,210.25,1837
3257,10/6/2019,155.75,1838
3258,10/6/2019,334.1,1839
3259,10/6/2019,278.4,1840
3260,10/6/2019,129.7,1824
3261,10/6/2019,12.95,390
3262,10/6/2019,83.85,500
3263,10/6/2019,199.5,1668
3264,10/6/2019,360.2,66
3265,10/6/2019,414.25,1634
3266,10/6/2019,295.45,1506
3267,10/6/2019,139.65,326
3268,10/7/2019,184.5,1841
3269,10/7/2019,357,1842
3270,10/7/2019,104.65,1843
3271,10/7/2019,337.55,1844
3272,10/7/2019,438.45,1845
3273,10/7/2019,291.4,1846
3274,10/7/2019,244.3,1847
3275,10/7/2019,149.85,1848
3276,10/7/2019,149.65,1849
3277,10/7/2019,347.04,1850
3278,10/7/2019,134.45,1851
3279,10/7/2019,44.45,1852
3280,10/7/2019,12.95,1853
3281,10/7/2019,199.6,1854
3282,10/7/2019,103.6,1855
3283,10/7/2019,308.1,1856
3284,10/7/2019,49.9,1360
3285,10/7/2019,274.25,53
3286,10/7/2019,489.3,1810
3287,10/7/2019,314.5,1637
3288,10/7/2019,28.85,1059
3289,10/7/2019,59.85,1646
3290,10/7/2019,20.65,1564
3291,10/7/2019,263.2,1753
3292,10/7/2019,339.5,1502
3293,10/7/2019,164.45,1749
3294,10/7/2019,1029.05,152
3295,10/7/2019,229.5,1826
3296,10/7/2019,185.55,1537
3297,10/7/2019,749,102
3298,10/7/2019,131.6,1497
3299,10/7/2019,387.05,1254
3300,10/7/2019,136.5,1225
3301,10/7/2019,289.55,660
3302,10/7/2019,79.6,1290
3303,10/7/2019,468.9,428
3304,10/8/2019,32.45,1857
3305,10/8/2019,64.75,1858
3306,10/8/2019,5.9,17
3307,10/8/2019,166.45,261
3308,10/8/2019,45,1424
3309,10/8/2019,340.2,1105
3310,10/8/2019,87.74,245
3311,10/9/2019,14.95,1859
3312,10/9/2019,69.65,1860
3313,10/9/2019,109.8,1861
3314,10/9/2019,44.85,1862
3315,10/9/2019,59.9,1863
3316,10/9/2019,239.55,1864
3317,10/9/2019,99.75,1865
3318,10/9/2019,389.65,1866
3319,10/9/2019,179.55,1867
3320,10/9/2019,242.35,1868
3321,10/9/2019,314.1,1869
3322,10/9/2019,306.3,1870
3323,10/9/2019,264.5,1392
3324,10/9/2019,119.8,963
3325,10/9/2019,328.3,1788
3326,10/9/2019,207.45,24
3327,10/9/2019,110.55,1469
3328,10/9/2019,364.35,1225
3329,10/9/2019,298.25,1431
3330,10/9/2019,260.2,1607
3331,10/9/2019,203.3,1335
3332,10/9/2019,69.95,1433
3333,10/9/2019,540.2,455
3334,10/9/2019,161.55,1685
3335,10/9/2019,569.45,1239
3336,10/9/2019,189.35,1497
3337,10/9/2019,174.3,1485
3338,10/9/2019,361.95,1634
3339,10/9/2019,119.6,865
3340,10/9/2019,77.7,406
3341,10/9/2019,212.15,815
3342,10/10/2019,159.6,1871
3343,10/10/2019,59.85,1872
3344,10/10/2019,484.2,1873
3345,10/10/2019,146.55,1874
3346,10/10/2019,331.3,1875
3347,10/10/2019,59.85,1876
3348,10/10/2019,131.7,1877
3349,10/10/2019,429.15,1878
3350,10/10/2019,24.95,1879
3351,10/10/2019,187.3,1880
3352,10/10/2019,299.4,1881
3353,10/10/2019,209.4,1882
3354,10/10/2019,133.6,1883
3355,10/10/2019,268.6,1884
3356,10/10/2019,79.8,1885
3357,10/10/2019,249.5,171
3358,10/10/2019,206.25,221
3359,10/10/2019,338.15,1837
3360,10/10/2019,327.2,1793
3361,10/10/2019,59.85,1038
3362,10/10/2019,151.7,1634
3363,10/10/2019,394,1411
3364,10/10/2019,479.3,607
3365,10/10/2019,205.65,915
3366,10/10/2019,295.4,569
3367,10/10/2019,168.35,1407
3368,10/10/2019,208.25,8
3369,10/10/2019,205.5,1077
3370,10/10/2019,186.35,509
3371,10/10/2019,259.35,80
3372,10/10/2019,86.35,1576
3373,10/10/2019,25.9,1009
3374,10/10/2019,206.4,854
3375,10/11/2019,39.9,1886
3376,10/11/2019,162.55,1887
3377,10/11/2019,119.8,1888
3378,10/11/2019,65.8,1889
3379,10/11/2019,324.5,1890
3380,10/11/2019,130.65,1891
3381,10/11/2019,164.55,1892
3382,10/11/2019,249.45,1893
3383,10/11/2019,116.55,1894
3384,10/11/2019,391.4,1895
3385,10/11/2019,64.75,1896
3386,10/11/2019,77.7,1897
3387,10/11/2019,85.4,1898
3388,10/11/2019,38.85,1899
3389,10/11/2019,231.35,1900
3390,10/11/2019,26.55,647
3391,10/11/2019,268.35,486
3392,10/11/2019,12.95,971
3393,10/11/2019,175.6,1054
3394,10/11/2019,269.5,756
3395,10/11/2019,87.8,1854
3396,10/11/2019,216.5,1753
3397,10/11/2019,98.55,246
3398,10/11/2019,302.9,1109
3399,10/11/2019,609.15,440
3400,10/11/2019,19.95,7
3401,10/11/2019,146.2,1835
3402,10/11/2019,349.2,806
3403,10/11/2019,291.2,1671
3404,10/11/2019,89.7,1700
3405,10/11/2019,309.15,126
3406,10/12/2019,504.25,1901
3407,10/12/2019,342.95,1902
3408,10/12/2019,12.95,1903
3409,10/12/2019,224.55,1904
3410,10/12/2019,131.7,1905
3411,10/12/2019,39.9,1906
3412,10/12/2019,195.65,1907
3413,10/12/2019,119.7,1908
3414,10/12/2019,497.56,1909
3415,10/12/2019,32.65,1910
3416,10/12/2019,334.05,1911
3417,10/12/2019,226.55,656
3418,10/12/2019,302.15,836
3419,10/12/2019,449.4,1784
3420,10/12/2019,274.4,1281
3421,10/12/2019,284.45,1087
3422,10/12/2019,141.65,1605
3423,10/12/2019,139.65,1311
3424,10/12/2019,237.3,44
3425,10/12/2019,279.3,1778
3426,10/12/2019,139.75,1176
3427,10/12/2019,339.45,69
3428,10/12/2019,569.2,873
3429,10/12/2019,193.75,1016
3430,10/12/2019,419.25,1722
3431,10/13/2019,136.05,1912
3432,10/13/2019,77.7,1913
3433,10/13/2019,77.7,1914
3434,10/13/2019,19.95,1915
3435,10/13/2019,316,1916
3436,10/13/2019,445.75,1917
3437,10/13/2019,228.4,1918
3438,10/13/2019,396,1919
3439,10/13/2019,289.5,1920
3440,10/13/2019,39.9,1921
3441,10/13/2019,119.8,1922
3442,10/13/2019,361.25,1923
3443,10/13/2019,540.95,1924
3444,10/13/2019,231.5,782
3445,10/13/2019,484.2,1572
3446,10/13/2019,559.6,68
3447,10/13/2019,119.6,1472
3448,10/13/2019,418.95,1125
3449,10/13/2019,233.4,566
3450,10/13/2019,79.8,1691
3451,10/13/2019,103.4,230
3452,10/13/2019,27.95,991
3453,10/13/2019,152.55,1713
3454,10/13/2019,312.05,146
3455,10/13/2019,51.8,750
3456,10/13/2019,189.6,68
3457,10/13/2019,247.4,1441
3458,10/13/2019,111.8,1787
3459,10/13/2019,115.75,1344
3460,10/13/2019,263.5,781
3461,10/13/2019,356.1,471
3462,10/13/2019,347.15,1720
3463,10/13/2019,167.45,971
3464,10/13/2019,183.4,1742
3465,10/14/2019,244.2,1925
3466,10/14/2019,349.65,1926
3467,10/14/2019,291.05,1927
3468,10/14/2019,124.85,1928
3469,10/14/2019,353.4,1929
3470,10/14/2019,29.85,1930
3471,10/14/2019,204.4,1931
3472,10/14/2019,389.2,1932
3473,10/14/2019,75.85,1933
3474,10/14/2019,89.7,1934
3475,10/14/2019,65.9,1935
3476,10/14/2019,38.85,1936
3477,10/14/2019,219.4,1937
3478,10/14/2019,251.5,1938
3479,10/14/2019,52.45,1939
3480,10/14/2019,167.7,1821
3481,10/14/2019,500.9,1437
3482,10/14/2019,104.65,1691
